hour,F,M
7,0.0,2.0
10,1.0,0.0
11,0.0,1.0
12,0.0,1.0
15,0.0,2.0
16,0.0,2.0
17,0.0,1.0
19,0.0,1.0
21,0.0,1.0
22,0.0,1.0
