hour,F,M
7,0.0,7.0
10,1.0,0.0
11,1.0,1.0
12,1.0,0.0
15,1.0,0.0
16,0.0,1.0
17,1.0,1.0
18,1.0,3.0
20,0.0,2.0
21,2.0,6.0
