hour,<60,>60
7,0.0,2.0
10,0.0,1.0
11,0.0,1.0
12,0.0,1.0
15,2.0,0.0
16,1.0,1.0
17,1.0,0.0
19,0.0,1.0
21,0.0,1.0
22,1.0,0.0
