hour,F,M
9,1.0,1.0
10,4.0,0.0
11,9.0,0.0
12,5.0,3.0
13,8.0,6.0
14,1.0,1.0
15,1.0,1.0
16,1.0,1.0
17,3.0,0.0
19,2.0,3.0
20,0.0,3.0
